epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.8071,2.91676,5.50742,2.98864,0.67595,0.14611,0.09409,0.03445,2.66779,2.84004,6.51297,0.0701075,0.00332139,0.00332139
2,92.3824,2.41977,2.78321,2.60436,0.30534,0.23509,0.18691,0.07285,2.13923,3.12035,2.44167,0.0399758,0.00652296,0.00652296
3,137.228,2.26281,2.51879,2.48855,0.78451,0.44117,0.44695,0.20449,1.779,2.10908,2.24639,0.009712,0.00959253,0.00959253
4,181.82,2.1924,2.40396,2.40501,0.86833,0.40001,0.50532,0.26698,1.73158,1.96548,2.16338,0.009406,0.009406,0.009406
5,226.79,2.13527,2.33334,2.37512,0.88908,0.38397,0.51442,0.26931,1.63824,1.92992,2.10062,0.009208,0.009208,0.009208
6,269.58,2.10522,2.22039,2.3319,0.8799,0.42918,0.52808,0.28766,1.66567,1.85234,2.07345,0.00901,0.00901,0.00901
7,310.375,2.07671,2.1718,2.30771,0.85128,0.45879,0.64254,0.33274,1.59409,1.75658,2.0787,0.008812,0.008812,0.008812
8,351.639,2.05964,2.1334,2.30456,0.63976,0.62382,0.65903,0.3203,1.59968,1.77679,2.0512,0.008614,0.008614,0.008614
9,392.452,2.02364,2.04154,2.27516,0.41999,0.68866,0.71997,0.3702,1.57589,1.57989,2.02009,0.008416,0.008416,0.008416
10,432.575,1.99953,1.97022,2.24042,0.73386,0.62038,0.72362,0.40182,1.51207,1.55497,1.99853,0.008218,0.008218,0.008218
11,473.428,1.96144,1.92314,2.21074,0.77069,0.70245,0.76018,0.41272,1.49274,1.48916,1.95334,0.00802,0.00802,0.00802
12,513.96,1.96937,1.87805,2.19342,0.76285,0.68458,0.77056,0.43325,1.49585,1.40191,1.94126,0.007822,0.007822,0.007822
13,555.464,1.93949,1.89637,2.18314,0.61575,0.79366,0.78434,0.43683,1.44151,1.44277,1.88992,0.007624,0.007624,0.007624
14,596.477,1.9177,1.83837,2.15115,0.63116,0.78532,0.77787,0.42792,1.45796,1.38856,1.86998,0.007426,0.007426,0.007426
15,637.08,1.88944,1.75998,2.11427,0.66565,0.77922,0.81061,0.435,1.47119,1.34368,1.87209,0.007228,0.007228,0.007228
16,677.575,1.87572,1.74489,2.11096,0.70739,0.80568,0.83105,0.47231,1.40005,1.26088,1.83023,0.00703,0.00703,0.00703
17,719.548,1.88198,1.72171,2.11177,0.69794,0.82787,0.83197,0.46816,1.39176,1.28416,1.84583,0.006832,0.006832,0.006832
18,759.921,1.8518,1.70811,2.09537,0.78659,0.79049,0.84244,0.47319,1.4193,1.23228,1.80929,0.006634,0.006634,0.006634
